#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,3,17,0,46 1,2.1,14.5,99,99,99,999,1032.7,12.8,999,999,99,99
2008,1,3,18,0,47 1,1.9,13.5,99,99,99,999,1031.5,13.2,999,999,99,99
2008,1,3,19,0,50 1,2.4,13.5,99,99,99,999,1030.7,14,999,999,99,99
2008,1,3,20,0,48 1,0.6,12.6,99,99,99,999,1030.6,14.4,999,999,99,99
2008,1,3,21,0,52 1,2.4,13.9,99,99,99,999,1030.5,15,999,999,99,99
2008,1,3,22,0,50 1,3.1,15.5,99,99,99,999,1030.7,15.5,999,999,99,99
2008,1,3,23,0,57 1,3.2,15.1,99,99,99,999,1031,15.8,999,999,99,99
2008,1,4,0,0,59 1,3.1,14.4,99,99,99,999,1031.3,16,999,999,99,99
2008,1,4,1,0,57 1,3.4,15.1,99,99,99,999,1031.5,16.1,999,999,99,99
2008,1,4,2,0,66 1,3.7,16,99,99,99,999,1031.8,15.9,999,999,99,99
2008,1,4,3,0,64 1,3.6,15.9,99,99,99,999,1032.2,15.9,999,999,99,99
2008,1,4,4,0,53 1,3.3,14.9,99,99,99,999,1031.9,15.7,999,999,99,99
2008,1,4,5,0,62 1,3.1,14.5,99,99,99,999,1031.7,15.8,999,999,99,99
2008,1,4,6,0,60 1,2.2,14,99,99,99,999,1031.1,16,999,999,99,99
2008,1,4,7,0,58 1,1.7,13.7,99,99,99,999,1030.4,16,999,999,99,99
2008,1,4,8,0,64 1,3.1,15.3,99,99,99,999,1029.8,16,999,999,99,99
2008,1,4,9,0,62 1,2,14.4,99,99,99,999,1029.6,16.5,999,999,99,99
2008,1,4,10,0,61 1,3.1,14.1,99,99,99,999,1029.6,16.2,999,999,99,99
2008,1,4,11,0,65 1,2.4,13.7,99,99,99,999,1029.8,16.6,999,999,99,99
2008,1,4,12,0,66 1,2.7,14.9,99,99,99,999,1030.4,16.9,999,999,99,99
2008,1,4,13,0,72 1,3.8,14.8,99,99,99,999,1030.8,17.2,999,999,99,99
2008,1,4,14,0,66 1,3.2,15.2,99,99,99,999,1031.2,17.8,999,999,99,99
2008,1,4,15,0,75 1,3.3,14.9,99,99,99,999,1031.7,18.1,999,999,99,99
2008,1,4,16,0,69 1,3.7,15.8,99,99,99,999,1031.7,17.6,999,999,99,99
2008,1,4,17,0,71 1,3.1,14.7,99,99,99,999,1031.1,17.9,999,999,99,99
2008,1,4,18,0,70 1,1.9,12.8,99,99,99,999,1029.9,18,999,999,99,99
2008,1,4,19,0,72 1,2,13.2,99,99,99,999,1029,18.2,999,999,99,99
2008,1,4,20,0,72 1,1.3,12.6,99,99,99,999,1028.4,18.6,999,999,99,99
2008,1,4,21,0,70 1,1.9,13.4,99,99,99,999,1028.1,18.6,999,999,99,99
2008,1,4,22,0,62 1,1.2,13.1,99,99,99,999,1028,18.9,999,999,99,99
2008,1,4,23,0,59 1,1.6,12.9,99,99,99,999,1027.9,19.1,999,999,99,99
2008,1,5,0,0,66 1,1,12.4,99,99,99,999,1028,19.3,999,999,99,99
2008,1,5,1,0,68 1,1.9,13.6,99,99,99,999,1028.4,19.2,999,999,99,99
2008,1,5,2,0,69 1,2.7,15,99,99,99,999,1028.6,19.3,999,999,99,99
2008,1,5,3,0,72 1,0.8,12.5,99,99,99,999,1028.7,19.1,999,999,99,99
2008,1,5,4,0,62,9.9,11.3,99,99,99,999,1028.6,18.7,999,999,99,99
2008,1,5,5,0,66 1,0.8,11.7,99,99,99,999,1027.9,18.9,999,999,99,99
2008,1,5,6,0,62,9.8,11.1,99,99,99,999,1027.5,19,999,999,99,99
2008,1,5,7,0,61,9.9,11.4,99,99,99,999,1026.7,18.9,999,999,99,99
2008,1,5,8,0,64 1,0.7,11.6,99,99,99,999,1026.2,18.8,999,999,99,99
2008,1,5,9,0,63 1,0.8,12.3,99,99,99,999,1025.5,18.8,999,999,99,99
2008,1,5,10,0,58 1,0.5,12.4,99,99,99,999,1025.7,18.8,999,999,99,99
2008,1,5,11,0,63 1,0,11.2,99,99,99,999,1025.4,19.1,999,999,99,99
2008,1,5,12,0,65 1,0.9,12.7,99,99,99,999,1025.6,19.3,999,999,99,99
2008,1,5,13,0,65 1,0.5,11.9,99,99,99,999,1026.1,19.1,999,999,99,99
2008,1,5,14,0,72 1,1.3,12.7,99,99,99,999,1026.6,19.3,999,999,99,99
2008,1,5,15,0,68,9.8,11.2,99,99,99,999,1026.8,19.7,999,999,99,99
2008,1,5,16,0,66,9.3,10.3,99,99,99,999,1026.7,19.9,999,999,99,99
