#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 03 03 00  14 15.1 17.7 99.00 99.00 99.00 999 1030.7  13.7 999.0 999.0 99.0 99.00
2008 01 03 04 00  15 12.7 16.1 99.00 99.00 99.00 999 1030.9  13.5 999.0 999.0 99.0 99.00
2008 01 03 05 00  13 15.0 17.4 99.00 99.00 99.00 999 1030.3  13.7 999.0 999.0 99.0 99.00
2008 01 03 06 00  20 14.9 17.7 99.00 99.00 99.00 999 1030.1  13.6 999.0 999.0 99.0 99.00
2008 01 03 07 00  39 13.6 16.0 99.00 99.00 99.00 999 1029.9  12.4 999.0 999.0 99.0 99.00
2008 01 03 08 00  26 14.0 16.7 99.00 99.00 99.00 999 1030.1  11.4 999.0 999.0 99.0 99.00
2008 01 03 09 00  26 14.7 16.4 99.00 99.00 99.00 999 1030.6   9.8 999.0 999.0 99.0 99.00
2008 01 03 10 00  31 13.0 16.1 99.00 99.00 99.00 999 1031.0   9.1 999.0 999.0 99.0 99.00
2008 01 03 11 00  33 13.9 17.2 99.00 99.00 99.00 999 1031.6   8.6 999.0 999.0 99.0 99.00
2008 01 03 12 00  29 14.1 15.5 99.00 99.00 99.00 999 1031.9   9.2 999.0 999.0 99.0 99.00
2008 01 03 13 00  41 13.1 15.6 99.00 99.00 99.00 999 1032.6   9.7 999.0 999.0 99.0 99.00
2008 01 03 14 00  46 12.9 15.4 99.00 99.00 99.00 999 1033.3  10.4 999.0 999.0 99.0 99.00
2008 01 03 15 00  55 12.5 14.6 99.00 99.00 99.00 999 1033.7  11.4 999.0 999.0 99.0 99.00
2008 01 03 16 00  55 12.6 14.6 99.00 99.00 99.00 999 1033.4  12.7 999.0 999.0 99.0 99.00
2008 01 03 17 00  46 12.1 14.5 99.00 99.00 99.00 999 1032.7  12.8 999.0 999.0 99.0 99.00
2008 01 03 18 00  47 11.9 13.5 99.00 99.00 99.00 999 1031.5  13.2 999.0 999.0 99.0 99.00
2008 01 03 19 00  50 12.4 13.5 99.00 99.00 99.00 999 1030.7  14.0 999.0 999.0 99.0 99.00
2008 01 03 20 00  48 10.6 12.6 99.00 99.00 99.00 999 1030.6  14.4 999.0 999.0 99.0 99.00
2008 01 03 21 00  52 12.4 13.9 99.00 99.00 99.00 999 1030.5  15.0 999.0 999.0 99.0 99.00
2008 01 03 22 00  50 13.1 15.5 99.00 99.00 99.00 999 1030.7  15.5 999.0 999.0 99.0 99.00
2008 01 03 23 00  57 13.2 15.1 99.00 99.00 99.00 999 1031.0  15.8 999.0 999.0 99.0 99.00
2008 01 04 00 00  59 13.1 14.4 99.00 99.00 99.00 999 1031.3  16.0 999.0 999.0 99.0 99.00
2008 01 04 01 00  57 13.4 15.1 99.00 99.00 99.00 999 1031.5  16.1 999.0 999.0 99.0 99.00
2008 01 04 02 00  66 13.7 16.0 99.00 99.00 99.00 999 1031.8  15.9 999.0 999.0 99.0 99.00
