#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,1,0,50,89,2.5,3.5,0.75,5.56,4.49,107,9999,20.4,22.9,12,99,99
2008,1,1,1,50,62,1.9,2.8,0.73,5.26,4.39,97,9999,20.4,22.7,12,99,99
2008,1,1,2,50,28,2.1,3.3,0.73,5.26,4.55,95,9999,20.4,22.7,12.3,99,99
2008,1,1,3,50,12,2.3,3.2,0.64,5.56,4.51,113,9999,20.3,22.7,12,99,99
2008,1,1,4,50,349,1.9,2.5,0.66,5.56,4.5,110,9999,20.3,22.7,12.1,99,99
2008,1,1,5,50,330,1.9,2.5,0.62,5.26,4.55,106,9999,20.3,22.7,12.5,99,99
2008,1,1,6,50,302,4.9,6.4,0.6,5.26,4.59,110,9999,20.4,22.7,11.6,99,99
2008,1,1,7,50,315,8,9.7,0.61,5.26,4.74,98,9999,20.4,22.7,10.6,99,99
2008,1,1,8,50,320,8.7,10.9,0.72,3.03,3.51,322,9999,19.4,22.7,10.9,99,99
2008,1,1,9,50,338,11,13.1,0.97,3.7,3.75,312,9999,18.1,22.7,8.8,99,99
2008,1,1,10,50,357,12.6,15.2,1.35,4.35,4.1,323,9999,16.5,22.7,7.1,99,99
2008,1,1,11,50,360,13,15.5,1.91,5.56,4.61,335,9999,15.5,22.7,4.6,99,99
2008,1,1,12,50,358,13.6,16.5,2.33,6.25,5.1,344,9999,14.4,22.2,3.8,99,99
2008,1,1,13,50,358,13.4,16.5,2.77,6.67,5.52,350,9999,13.6,22.2,4.8,99,99
2008,1,1,14,50,360,13.2,16.8,2.92,7.14,5.69,349,9999,12.9,22.2,2.1,99,99
2008,1,1,15,50,2,12.6,16.1,3.26,7.14,5.95,351,9999,12.5,22.2,1.7,99,99
2008,1,1,16,50,358,12.8,16.3,2.91,7.14,5.76,354,9999,12.4,22.2,3.2,99,99
2008,1,1,17,50,353,11.8,15.3,2.8,7.14,5.62,355,9999,12.5,22.2,-0.1,99,99
