#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,3,13,50,66,7.3,9.9,1.08,5,4.03,88,1041.9,5.3,14.3,-3.6,99,99
2008,1,3,14,50,80,7.5,9.9,1.16,5.26,4.09,96,1041.9,5.4,14.2,-2.6,99,99
2008,1,3,15,50,85,7.4,9.7,1.09,5.26,4.06,93,1042.6,5.3,14.3,-1.2,99,99
2008,1,3,16,50,90,6.7,8.7,1.2,5.26,4.21,96,1042.5,5.4,14.2,-0.7,99,99
2008,1,3,17,50,87,6.2,8.5,1.18,5.56,4.2,102,1041.7,5.7,14.2,-1.1,99,99
2008,1,3,18,50,84,6.2,8.2,1.1,5.56,4.2,98,1040.2,6,14.3,-0.5,99,99
2008,1,3,19,50,91,5.6,8.1,1.07,5.88,4.17,97,1039.1,6.3,14.3,-0.4,99,99
2008,1,3,20,50,93,5.7,7.1,0.98,5.88,4.19,99,1038.4,6.8,14.4,0.5,99,99
2008,1,3,21,50,95,5.1,7.8,0.83,5.56,4.06,96,1037.7,7.2,14.3,1,99,99
2008,1,3,22,50,117,5.6,7.7,0.83,5.56,3.97,96,1037.2,7.8,14.2,0.9,99,99
2008,1,3,23,50,120,5.6,7.9,0.84,5.56,3.92,105,1036.7,8.1,14.2,1,99,99
2008,1,4,0,50,119,6.4,8.1,0.81,5.56,4,97,1036.4,8.6,14.3,1.9,99,99
2008,1,4,1,50,126,6.6,8.8,0.78,5.26,3.76,98,1036.2,9,14.3,2.3,99,99
2008,1,4,2,50,126,6.8,9,0.75,5.26,3.78,105,1035.9,9.5,14.3,2.7,99,99
2008,1,4,3,50,124,6.7,8.4,0.74,5.26,3.85,103,1035.5,10,14.2,3.7,99,99
2008,1,4,4,50,122,6.1,8,0.73,3.7,3.74,108,1035.2,10.5,14.2,4.1,99,99
2008,1,4,5,50,120,6.3,8.1,0.76,5,3.71,98,1034.3,10.8,14.1,4.7,99,99
2008,1,4,6,50,109,6,7.4,0.75,3.7,3.75,107,1033.3,11.1,14.1,5.4,99,99
2008,1,4,7,50,99,5.9,7.2,0.74,5,3.62,113,1032.8,11.3,14,6.3,99,99
2008,1,4,8,50,103,6.9,8.2,0.74,4.35,3.67,106,1032,11.6,14,6.7,99,99
2008,1,4,9,50,95,7.5,9.4,0.75,4,3.64,114,1031.2,11.8,14,7.8,99,99
2008,1,4,10,50,90,9.5,11.1,99,99,99,999,1030.5,11.5,14,8.6,99,99
2008,1,4,11,50,81,9.8,11,99,99,99,999,1030.4,11.5,14,8.9,99,99
2008,1,4,12,50,77,10.3,12.4,1.07,4.55,3.85,104,1030.3,11.5,14,9.2,99,99
2008,1,4,13,50,82,11.8,14.3,1.6,5,4.27,89,1030.1,11.4,14,9,99,99
2008,1,4,14,50,85,10.6,12.4,1.72,5.26,4.55,100,1030.6,12.2,14,10,99,99
2008,1,4,15,50,96,9.8,12.2,1.79,5.56,4.59,96,1031,13.6,13.9,11.2,99,99
2008,1,4,16,50,104,10.4,12.5,1.69,5.88,4.43,116,1030.5,14.4,13.6,11.8,99,99
2008,1,4,17,50,110,10.1,12,1.88,6.25,4.79,119,1029.6,14.6,13.6,12,99,99
2008,1,4,18,50,116,8.6,10.1,1.64,5.88,4.65,114,1028.4,15,13.6,12.4,99,99
2008,1,4,19,50,117,8.6,10.3,1.66,5.88,4.61,117,1027.4,15,13.6,12.6,99,99
2008,1,4,20,50,112,9.2,11.2,1.54,6.25,4.45,122,1026.5,14.9,13.6,12.7,99,99
2008,1,4,21,50,110,8.5,9.8,1.4,5,4.4,104,1026.1,15.2,13.5,13.1,99,99
2008,1,4,22,50,110,8.5,9.9,1.54,5.56,4.58,107,1025.7,15.5,13.6,13.6,99,99
2008,1,4,23,50,110,8.1,9.3,1.32,5.56,4.51,116,1025.4,15.8,13.7,14,99,99
2008,1,5,0,50,119,6.9,7.6,1.22,5.88,4.37,115,1025.6,16.1,13.7,14.3,99,99
2008,1,5,1,50,127,6.9,7.7,1.23,6.67,4.5,125,1025.7,16.3,13.6,14.3,99,99
2008,1,5,2,50,122,6.5,7.3,1.19,5.56,4.33,120,1025.4,16.3,13.5,14.3,99,99
2008,1,5,3,50,126,6.1,6.8,1.12,5,4.24,121,1025.1,16.2,13.5,14.4,99,99
2008,1,5,4,50,126,4.4,4.9,1.17,6.25,4.48,120,1024.5,16,13.6,14.4,99,99
2008,1,5,5,50,139,5.9,6.6,1.07,5,4.41,124,1023.7,16.4,13.5,14.4,99,99
2008,1,5,6,50,149,5.2,5.8,1.06,6.67,4.51,119,1023.4,16.6,13.5,14.5,99,99
2008,1,5,7,50,143,3.8,4.3,1.02,6.25,4.62,120,1023.3,16.1,13.5,14.3,99,99
2008,1,5,8,50,141,4,4.7,1.03,5.88,4.63,113,1022.7,16.1,13.4,14.3,99,99
2008,1,5,9,50,130,3,3.3,0.98,5.26,4.72,142,1022.5,16.1,13.5,14.4,99,99
2008,1,5,10,50,148,3.4,3.8,1.07,7.14,4.88,135,1021.9,15.9,13.4,14.2,99,99
2008,1,5,11,50,141,3.5,4,1.08,7.69,5.01,136,1021.7,15.9,13.4,14.3,99,99
2008,1,5,12,50,148,4.1,4.6,1.16,5.26,5.01,159,1021.8,16.2,13.4,14.5,99,99
2008,1,5,13,50,164,5.4,6.2,1.22,7.69,5.19,142,1022.1,16.7,13.4,14.9,99,99
2008,1,5,14,50,152,3.3,3.6,1.27,5.88,5.21,161,1022.3,16,13.4,14.4,99,99
2008,1,5,15,50,149,3.9,4.4,1.29,6.67,5.24,142,1022.4,16.6,13.4,14.9,99,99
2008,1,5,16,50,151,3.9,4.3,1.33,6.25,5.17,159,1022.6,16.4,13.5,14.9,99,99
2008,1,5,17,50,150,4.1,4.5,1.39,6.25,5.19,153,1022,16.7,13.6,15.2,99,99
2008,1,5,18,50,150,5.2,6,1.31,6.67,5.21,154,1020.7,16.8,13.7,15.2,99,99
2008,1,5,19,50,177,4.5,5.1,1.27,6.67,5.22,151,1020,17,13.8,15.4,99,99
2008,1,5,20,50,164,5,5.4,1.19,5.88,5.1,158,1019.2,17.1,14,15.6,99,99
2008,1,5,21,50,157,4.9,5.5,1.2,7.69,5.05,138,1018.8,17.1,14,15.6,99,99
2008,1,5,22,50,158,4.8,5.2,1.06,6.25,5.11,165,1018.9,17.2,14.1,15.7,99,99
2008,1,5,23,50,153,3.9,4.5,1.1,6.25,5.22,164,1019.1,16.9,14.1,15.3,99,99
2008,1,6,0,50,149,4,4.5,1.05,6.25,5,158,1019.4,16.9,14.1,15.2,99,99
2008,1,6,1,50,151,3.7,4,1.02,7.69,5.01,146,1019.6,16.7,14.1,15.1,99,99
2008,1,6,2,50,148,4.2,4.7,1.03,6.67,5.19,163,1019.7,16.9,14.2,15.2,99,99
2008,1,6,3,50,149,4.5,4.9,1,7.69,5.1,132,1019.5,16.8,14.3,15.2,99,99
2008,1,6,4,50,151,4.9,5.5,1,5.88,5.04,153,1019.5,17,14.5,15.4,99,99
2008,1,6,5,50,155,4.4,5.1,0.98,6.25,5.06,154,1019.4,17.1,14.5,15.5,99,99
2008,1,6,6,50,153,5.2,6,0.99,6.67,5.02,170,1018.8,17,14.4,15.4,99,99
2008,1,6,7,50,159,5.1,5.6,0.93,7.69,4.89,141,1018.8,16.9,14.4,15.2,99,99
2008,1,6,8,50,154,4.1,4.5,0.97,6.25,4.88,174,1018.7,16.7,14.5,15.1,99,99
2008,1,6,9,50,151,4.3,4.7,0.92,6.67,4.85,165,1018.6,17,14.5,15.4,99,99
2008,1,6,10,50,151,4.7,5.4,0.91,7.14,4.91,146,1018.4,17.1,14.1,15.5,99,99
2008,1,6,11,50,151,4.7,5.3,0.89,6.25,4.9,173,1018.5,17,14.1,15.3,99,99
2008,1,6,12,50,149,5,5.4,0.96,5.56,4.93,163,1018.9,17,14.2,15.4,99,99
2008,1,6,13,50,151,5,5.5,0.95,7.14,4.93,159,1019.3,17.2,14.3,15.8,99,99
2008,1,6,14,50,145,4.5,5.1,1.02,6.67,4.99,177,1019.8,17.3,14.4,16.2,99,99
2008,1,6,15,50,145,5.1,5.7,0.99,5.56,4.81,168,1020.1,17.6,14.6,16.5,99,99
2008,1,6,16,50,141,5.2,5.9,1,5,4.81,165,1019.8,17.7,14.8,16.5,99,99
2008,1,6,17,50,145,4.6,5,0.98,6.25,4.65,166,1019.3,17.6,14.9,16.5,99,99
2008,1,6,18,50,137,3.6,4,0.99,5.56,4.69,160,1018.4,17.6,15.1,16.4,99,99
2008,1,6,19,50,126,3.6,4,0.99,5.88,4.81,172,1017.5,17.6,15.4,16.5,99,99
2008,1,6,20,50,124,3.2,3.5,0.96,5.88,4.84,174,1017.5,17.9,15.7,16.7,99,99
2008,1,6,21,50,120,3.7,4.1,0.93,5.56,4.94,183,1017.4,18,16.1,17,99,99
2008,1,6,22,50,124,5.5,6.1,0.89,5.88,4.91,165,1017.1,18.1,16.1,16.9,99,99
2008,1,6,23,50,127,5.4,6.2,0.87,6.25,4.77,184,1017,18,16,16.4,99,99
2008,1,7,0,50,126,5.3,5.9,0.92,7.14,4.74,148,1017,17.9,16,16.4,99,99
2008,1,7,1,50,133,6.5,7.3,0.89,5.88,4.47,165,1016.9,18.1,15.8,16.5,99,99
2008,1,7,2,50,135,6.4,7.2,0.87,6.25,4.2,168,1017.2,18,15.7,16.4,99,99
2008,1,7,3,50,132,7,8,99,99,99,999,1017.3,18,15.8,16.5,99,99
2008,1,7,4,50,130,5.7,6.3,0.92,6.25,4.31,161,1017.7,17.9,15.8,16.3,99,99
2008,1,7,5,50,139,5.3,5.9,0.89,5.88,4.33,179,1017.5,17.8,15.9,16.2,99,99
2008,1,7,6,50,139,5.4,6,0.86,6.25,4.39,168,1016.9,17.7,15.8,16.1,99,99
2008,1,7,7,50,133,5.2,5.9,0.9,5.88,4.57,167,1016.7,17.7,15.9,16,99,99
2008,1,7,8,50,133,6.2,7.1,0.9,6.25,4.5,168,1015.9,17.8,15.9,16.1,99,99
2008,1,7,9,50,125,5.6,6.6,0.92,6.67,4.55,176,1015.9,17.9,15.8,16.3,99,99
2008,1,7,10,50,128,4.8,5.3,1.01,6.25,4.7,182,1015.9,17.8,15.8,16.2,99,99
2008,1,7,11,50,198,1.8,2.2,0.95,6.67,4.73,189,1016.4,17.4,15.8,15.8,99,99
2008,1,7,12,50,136,3.4,3.8,1.01,7.14,4.82,166,1017,17.6,15.7,16.1,99,99
2008,1,7,13,50,132,4,4.5,0.94,7.14,4.65,166,1017.5,17.6,15.7,16,99,99
2008,1,7,14,50,135,4.7,5.4,0.98,6.67,4.61,178,1017.9,17.8,15.8,16.3,99,99
2008,1,7,15,50,131,5.9,6.5,1.04,6.67,4.58,166,1018.2,17.9,15.7,16.4,99,99
2008,1,7,16,50,138,5.6,6.3,1.04,6.25,4.94,175,1017.9,18.1,15.8,16.8,99,99
2008,1,7,17,50,134,6.1,6.8,1.16,6.67,4.84,181,1017,18.3,15.9,16.9,99,99
2008,1,7,18,50,136,5.8,6.9,1.17,6.25,4.81,178,1016,18.3,16,17.1,99,99
2008,1,7,19,50,135,5.6,6.4,1.15,6.25,4.74,169,1015.1,18.3,16,16.9,99,99
2008,1,7,20,50,134,5.8,6.4,1.15,6.25,4.9,167,1014.6,18.3,16.1,16.9,99,99
2008,1,7,21,50,135,6.2,7.3,1.24,6.67,5.03,172,1014.3,18.4,16.1,16.8,99,99
2008,1,7,22,50,137,6.1,7.2,1.15,6.67,4.7,170,1014.2,18.6,16.1,17,99,99
2008,1,7,23,50,143,5.1,5.8,1.14,7.14,4.68,170,1014.5,18.4,16.1,16.8,99,99
2008,1,8,0,50,145,5.6,6.3,1.15,7.14,4.88,167,1014.5,18.6,16.1,16.9,99,99
2008,1,8,1,50,153,6,6.7,1.27,6.67,4.76,169,1014.8,18.9,16,17.2,99,99
2008,1,8,2,50,141,6.7,7.8,1.36,7.14,4.76,178,1015.2,18.8,16,17.1,99,99
2008,1,8,3,50,144,6.2,7.4,1.53,7.14,5.06,173,1015.5,18.5,15.9,16.9,99,99
2008,1,8,4,50,140,6.6,7.5,1.61,7.14,5.32,178,1015.3,18.5,15.9,16.9,99,99
2008,1,8,5,50,150,6.6,7.2,1.4,7.14,5.02,177,1015.2,18.3,15.9,16.7,99,99
2008,1,8,6,50,150,5.7,6.7,1.36,7.14,5.03,180,1014.9,18.4,15.9,16.8,99,99
2008,1,8,7,50,148,5.5,6.1,1.35,7.14,5.1,186,1014.8,18.4,16,16.8,99,99
2008,1,8,8,50,147,6.1,7,1.28,7.14,5.18,174,1014.5,18.2,16.1,16.6,99,99
2008,1,8,9,50,148,5.8,6.4,1.23,7.69,5.16,179,1013.9,18.1,16.2,16.5,99,99
2008,1,8,10,50,154,2.6,3,1.17,7.14,5.12,181,1014.6,17.9,16.2,16.3,99,99
2008,1,8,11,50,115,2.9,3.3,1.14,6.67,5.15,186,1014.7,17.6,16.2,16.1,99,99
2008,1,8,12,50,128,3.8,4.2,1.16,7.14,5.17,180,1015,17.8,15.2,16.2,99,99
2008,1,8,13,50,105,3.1,3.5,1.16,7.14,5.16,175,1015.4,17.2,14.7,15.6,99,99
2008,1,8,14,50,107,2.9,3.3,1.19,6.25,5.28,167,1015.8,17.5,15,16.3,99,99
2008,1,8,15,50,125,1.5,1.7,1.14,7.14,5.22,193,1016.5,17.8,16.5,16.4,99,99
2008,1,8,16,50,49,1.3,1.7,1.13,7.14,5.11,189,1017.1,18,16.6,16.4,99,99
2008,1,8,17,50,89,2.2,2.5,1.34,7.14,5.55,174,1016.6,17.3,16.4,15.8,99,99
2008,1,8,18,50,110,1.5,1.9,1.28,7.69,5.44,167,1015.9,18.6,16.3,17.2,99,99
2008,1,8,19,50,120,3.7,4.1,1.19,7.69,5.4,171,1015.1,18.1,16.5,16.7,99,99
2008,1,8,20,50,125,2.7,3,1.29,7.14,5.54,167,1014.9,18.3,16.4,16.8,99,99
2008,1,8,21,50,143,2.9,3.3,1.3,7.69,5.8,159,1014.9,18.3,16.3,16.8,99,99
2008,1,8,22,50,146,3.4,3.8,1.27,7.14,5.64,161,1015.2,18.4,16.4,16.9,99,99
2008,1,8,23,50,139,2.5,2.8,1.3,7.14,5.73,167,1016,18.2,16.3,16.6,99,99
2008,1,9,0,50,14,9,10.9,1.26,8.33,4.95,173,1017.3,15.1,16,11.8,99,99
2008,1,9,1,50,8,8.1,9.7,1.25,8.33,4.72,176,1018,15.1,15.9,12.7,99,99
2008,1,9,2,50,20,7.3,8.6,1.24,7.69,4.39,169,1018.7,15.2,15.4,12,99,99
2008,1,9,3,50,15,8.9,11.7,1.06,8.33,4.83,174,1018.6,15.5,15,11.6,99,99
2008,1,9,4,50,13,7,8.6,1.11,7.69,4.54,168,1019.1,15.6,15,11.9,99,99
2008,1,9,5,50,2,9.3,11.1,0.97,7.69,4.34,169,1018.6,14.9,15,999,99,99
2008,1,9,6,50,12,9.9,11.4,0.99,7.69,3.92,163,1018.6,14.2,15,7.5,99,99
2008,1,9,7,50,5,8.5,9.9,1.1,7.69,4.14,180,1019.1,13.7,15,7.6,99,99
2008,1,9,8,50,9,8.6,10,1.02,7.69,4.15,167,1019,13.3,15,6.7,99,99
2008,1,9,9,50,15,9.1,11.2,1.03,8.33,3.97,156,1018.9,12.8,14.9,6.8,99,99
2008,1,9,10,50,9,9.6,11.5,1.06,3.85,3.92,47,1019.5,12.8,14.9,6.1,99,99
2008,1,9,11,50,21,8.9,10.8,1.11,4,3.93,44,1019.6,12.4,14.9,5.8,99,99
2008,1,9,12,50,43,7.9,9.6,1.11,4,3.99,57,1019.4,12.2,14.9,6.8,99,99
2008,1,9,13,50,40,7.5,9.1,1.01,7.14,4,161,1019.5,11.9,15,7.4,99,99
2008,1,9,14,50,52,7,9,1.12,7.69,4.16,175,1019.5,12.4,15,7.7,99,99
2008,1,9,15,50,91,8.1,9.9,1.13,4.35,4.1,68,1018.9,13,15,8.3,99,99
2008,1,9,16,50,86,6.5,7.5,1.1,4.55,4.2,81,1019,13.8,15.1,9.5,99,99
2008,1,9,17,50,90,4.2,5.2,1.09,6.67,4.31,153,1018.5,14.1,15.2,10.4,99,99
2008,1,9,18,50,99,3.3,4.2,1.11,4.55,4.34,77,1017.2,14.6,15.3,11.2,99,99
2008,1,9,19,50,48,1.7,2.2,1.05,7.14,4.46,155,1016.4,15,15.2,11.6,99,99
2008,1,9,20,50,44,2.1,2.7,1,7.14,4.41,166,1015.5,14.8,15.2,11.9,99,99
2008,1,9,21,50,78,2.6,3.1,0.9,7.14,4.57,155,1015,15,15.2,12.5,99,99
2008,1,9,22,50,79,3.5,4,0.79,7.14,4.57,175,1014.8,14.9,15.2,12.9,99,99
2008,1,9,23,50,79,4,4.8,0.82,7.14,4.57,160,1014.3,14.8,15,13,99,99
2008,1,10,0,50,71,4.3,5.1,0.82,7.14,4.65,163,1014.1,14.9,15.1,13.1,99,99
2008,1,10,1,50,80,5,5.8,0.77,7.69,4.76,153,1014,14.8,15.2,13.1,99,99
2008,1,10,2,50,89,4.6,5.3,0.74,6.67,4.58,157,1013.9,15.1,15.5,13.4,99,99
2008,1,10,3,50,93,3.3,3.9,0.71,7.14,4.3,157,1013.6,15.4,15.6,13.7,99,99
2008,1,10,4,50,105,4,4.6,0.72,7.14,4.37,161,1012.7,15.9,15.5,14.2,99,99
2008,1,10,5,50,105,2.8,3.5,0.69,6.67,4.37,174,1012.3,16.3,15.5,14.6,99,99
2008,1,10,6,50,131,3.4,4,0.67,7.14,4.46,160,1011.7,17.2,15.5,15.4,99,99
2008,1,10,7,50,155,3.4,3.8,0.68,6.67,4.59,154,1011.6,17.6,15.5,15.9,99,99
2008,1,10,8,50,159,5.3,5.9,0.65,6.25,4.68,173,1010.8,17.9,15.4,16.3,99,99
2008,1,10,9,50,174,4.5,5.1,0.65,6.67,4.38,163,1011,18,15.4,16.4,99,99
2008,1,10,10,50,172,4,4.5,0.62,6.67,4.41,163,1010.8,17.6,15.4,16,99,99
2008,1,10,11,50,181,3.4,3.8,0.61,6.67,4.42,170,1011.2,17.9,15.4,16.3,99,99
2008,1,10,12,50,161,5.2,6,0.59,7.14,4.56,161,1010.9,17.9,15.4,16.2,99,99
2008,1,10,13,50,183,2.2,2.6,0.66,6.25,4.64,161,1011.8,17.5,15.4,15.9,99,99
2008,1,10,14,50,225,3.2,3.7,0.69,6.67,4.49,161,1012.3,17.7,15.4,16.2,99,99
2008,1,10,15,50,213,3.7,4.2,0.71,7.14,4.59,144,1012.2,17.3,15.4,15.7,99,99
2008,1,10,16,50,253,3.5,3.9,0.76,5.88,4.63,167,1012.4,16.6,15.4,15,99,99
2008,1,10,17,50,299,3.3,4.1,0.79,7.14,4.69,166,1011.6,17,15.4,15.4,99,99
2008,1,10,18,50,308,6,7.3,0.73,5,4.52,166,1010.7,16.6,15.5,14.8,99,99
2008,1,10,19,50,297,5.4,6.2,0.73,7.14,4.12,169,1010,16.6,15.5,13.9,99,99
2008,1,10,20,50,309,3,3.6,0.76,5.88,4.31,171,1010.3,16.7,15.5,13.3,99,99
2008,1,10,21,50,289,2.7,3.3,0.73,7.14,4.41,158,1010.5,17,15.5,12.7,99,99
2008,1,10,22,50,232,1.6,2,0.7,5.88,4.54,163,1010.7,16.9,15.6,12.9,99,99
2008,1,10,23,50,322,4.5,5.5,0.66,4.76,4.63,183,1011.2,17.8,15.7,9.5,99,99
2008,1,11,0,50,323,6.6,7.7,0.67,5.26,4.41,173,1011.7,17.4,15.7,9.1,99,99
2008,1,11,1,50,337,5.9,6.9,0.61,5,3.94,168,1012.6,17,15.7,8.6,99,99
2008,1,11,2,50,339,6.8,7.8,0.6,6.67,3.92,176,1013.4,16.1,15.6,8.6,99,99
2008,1,11,3,50,345,9.7,11.7,0.59,6.67,3.58,170,1013.8,15.6,15.6,6.3,99,99
2008,1,11,4,50,352,10.6,12.6,0.79,3.33,3.34,357,1014.3,14.3,15.6,5.4,99,99
2008,1,11,5,50,356,10.2,12.5,0.97,4,3.6,351,1014.4,13.6,15.6,4.8,99,99
2008,1,11,6,50,5,8.1,9.8,0.94,4,3.58,358,1014.4,13.4,15.5,4.9,99,99
2008,1,11,7,50,359,7.3,8.7,0.77,3.7,3.5,3,1014.8,13.3,15.5,4.7,99,99
2008,1,11,8,50,357,6.9,8,0.69,3.23,3.4,2,1014.5,13.2,15.5,4.1,99,99
2008,1,11,9,50,3,7.1,8.3,0.62,3.23,3.36,16,1014.3,13.1,15.5,4.4,99,99
2008,1,11,10,50,23,7.4,8.5,0.59,3.23,3.26,20,1013.9,12.7,15.4,3.8,99,99
