#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,1,0,50,126,1.3,1.6,0.24,5.88,4.25,164,1019.3,16.6,16.3,13.9,99,99
2008,1,1,1,50,52,0.2,0.3,0.22,5.88,4.32,153,1020.5,16.4,16.2,14.3,99,99
2008,1,1,2,50,2,5.3,10.4,0.31,6.25,4.54,147,1021.9,16.1,16,14.1,99,99
2008,1,1,3,50,359,11.8,13.6,0.47,2.74,2.81,360,1023.2,15.7,15.6,6.3,99,99
2008,1,1,4,50,8,11.9,14.4,0.8,3.57,3.22,3,1024.6,14.7,15.5,3.8,99,99
2008,1,1,5,50,9,12,14.1,0.99,4,3.37,5,1025.8,13.8,15.5,2.2,99,99
2008,1,1,6,50,13,14.2,17,1.18,4.35,3.57,19,1026.3,13.1,15.4,0.4,99,99
2008,1,1,7,50,11,12.8,15.6,1.35,4.35,3.84,35,1027.5,12.4,15.5,0.7,99,99
2008,1,1,8,50,16,13,16.6,1.37,4.55,3.89,34,1028.5,11.8,15.5,1.1,99,99
2008,1,1,9,50,13,13.5,16.5,99,99,99,999,1029.5,11.4,15.5,0.7,99,99
2008,1,1,10,50,16,13.1,15,1.56,5.56,4.26,64,1030.5,10.9,15.4,0.1,99,99
2008,1,1,11,50,14,13.3,16.1,1.52,5.56,4.26,60,1031.8,10.1,15.4,-0.1,99,99
2008,1,1,12,50,14,12.5,16,1.69,5.26,4.35,58,1033.3,9.5,15.4,0.4,99,99
2008,1,1,13,50,17,12.9,14.8,1.62,5.26,4.32,56,1034.5,8.9,15.4,-0.2,99,99
2008,1,1,14,50,13,13,15.4,1.66,4.76,4.32,44,1035.5,8.7,15.3,-0.2,99,99
2008,1,1,15,50,17,11.6,13.8,1.6,5.56,4.32,69,1036.6,8.8,15.4,-0.9,99,99
2008,1,1,16,50,12,11,13.3,1.59,5.56,4.38,72,1036.8,9.5,15.4,-1.4,99,99
2008,1,1,17,50,8,9.3,10.9,1.44,5.26,4.26,65,1036.3,10.1,15.5,-1.8,99,99
2008,1,1,18,50,4,9.8,12.4,1.27,4.76,4.1,53,1035.6,10.8,15.5,-3,99,99
2008,1,1,19,50,5,10.2,12.3,1.19,4.35,3.9,39,1035,11.4,15.5,-3.7,99,99
2008,1,1,20,50,1,11.3,13.8,1.12,4.76,3.81,56,1034.6,12.1,15.5,-4.3,99,99
2008,1,1,21,50,353,9.2,11.7,1.21,4.55,3.91,43,1035.1,12.2,15.6,-4.8,99,99
2008,1,1,22,50,351,11.1,14.5,1.18,4.76,3.91,37,1035.3,12.6,15.6,-4.9,99,99
2008,1,1,23,50,358,10.4,13,1.3,4.76,4,39,1036.2,12.3,15.6,-3.9,99,99
2008,1,2,0,50,1,11.4,13.7,1.23,4.35,3.93,14,1037.1,12,15.6,-3.9,99,99
2008,1,2,1,50,354,9.4,11.5,1.24,4.55,4.02,36,1038.1,11.4,15.5,-3.4,99,99
2008,1,2,2,50,358,11.2,13.2,1.08,4,3.75,11,1038.9,11.2,15.5,-2.3,99,99
2008,1,2,3,50,353,11.2,13.9,1.27,4.17,3.86,9,1039.8,10.5,15.4,-2.6,99,99
2008,1,2,4,50,352,11.3,13.8,1.17,4.35,3.82,16,1040.1,10.2,15.4,-2.7,99,99
2008,1,2,5,50,352,11.6,14.8,1.12,4.55,3.77,20,1040.3,9.3,15.3,-3.1,99,99
2008,1,2,6,50,359,12.3,15.3,99,99,99,999,1040.5,8.4,15.3,-2.4,99,99
2008,1,2,7,50,358,13.1,16.3,1.35,4.55,3.92,8,1040.9,7.8,15.2,-3.1,99,99
2008,1,2,8,50,356,14.1,16.8,1.45,4.55,4.06,1,1040.9,6.9,15.2,-3,99,99
2008,1,2,9,50,1,13,16.3,1.76,4.76,4.34,4,1041.4,6.4,15.1,-3.4,99,99
2008,1,2,10,50,358,12.2,14.7,1.53,4.55,4.23,6,1041.6,5.7,15,-5,99,99
2008,1,2,11,50,3,12.4,15.5,1.42,4.76,4.13,20,1042.1,5.4,15,-4.2,99,99
2008,1,2,12,50,3,13.5,16.1,1.42,4.76,4.12,21,1042.5,5.2,14.9,-4,99,99
2008,1,2,13,50,358,14,17.7,1.66,5.26,4.3,16,1042.9,5,14.8,-3.8,99,99
2008,1,2,14,50,359,13.9,17,1.6,4.76,4.29,9,1043.7,4.8,14.8,-3.6,99,99
2008,1,2,15,50,2,10.9,13.2,1.45,5,4.3,4,1045.1,4.3,14.7,-4.7,99,99
2008,1,2,16,50,2,10.3,12.5,1.4,4.76,4.21,14,1044.9,5.1,14.7,-5.4,99,99
2008,1,2,17,50,358,9.7,13.4,1.29,4.55,4.11,9,1044.2,5.6,14.7,-6.8,99,99
2008,1,2,18,50,352,8.5,10.5,1.05,4.55,3.82,28,1043.1,6.2,14.8,-7.5,99,99
2008,1,2,19,50,340,8.4,10.8,0.97,4.55,3.81,46,1041.9,7,14.8,-7.7,99,99
2008,1,2,20,50,342,8.8,11.1,0.86,4.35,3.53,44,1040.9,7.8,14.7,-7.1,99,99
2008,1,2,21,50,353,7.1,9.2,0.85,3.7,3.47,2,1041,8.1,14.7,-7,99,99
2008,1,2,22,50,347,7.7,10.7,0.78,4,3.5,28,1041.2,8.5,14.7,-7.4,99,99
2008,1,2,23,50,351,8.3,10.7,0.79,4,3.44,34,1041.3,8.4,14.7,-7.7,99,99
2008,1,3,0,50,4,7.9,9.8,0.73,3.7,3.45,13,1041.6,8.2,14.4,-7.5,99,99
2008,1,3,1,50,18,8.2,10.3,0.74,3.7,3.36,25,1041.9,7.9,14.4,-7.2,99,99
2008,1,3,2,50,11,7.6,9.5,0.78,3.57,3.44,32,1042.3,7.6,14.4,-6.6,99,99
2008,1,3,3,50,10,7.5,9.8,0.74,4.17,3.47,56,1042.7,7.3,14.4,-7.6,99,99
2008,1,3,4,50,30,7.3,9.1,0.74,4.35,3.53,50,1042.6,6.9,14.4,-7.1,99,99
2008,1,3,5,50,45,5.5,7.7,0.71,4.17,3.5,53,1042.5,6.6,14.4,-5.7,99,99
2008,1,3,6,50,39,7.4,9.5,0.78,4.17,3.54,58,1042.3,6.4,14.4,-6.8,99,99
2008,1,3,7,50,50,6.6,8.8,0.71,4.35,3.54,70,1041.7,6.2,14.4,-5.8,99,99
2008,1,3,8,50,67,5.9,9,0.71,4.17,3.46,62,1041.3,6,14.4,-5.8,99,99
2008,1,3,9,50,62,6.4,8.8,0.67,4,3.42,67,1041.2,5.9,14.3,-4.1,99,99
2008,1,3,10,50,72,6.2,8.3,0.75,4.35,3.49,68,1041.3,5.6,14.3,-4.7,99,99
2008,1,3,11,50,75,6.5,8.1,0.77,4.35,3.65,70,1041.5,5.5,14.3,-3.8,99,99
2008,1,3,12,50,75,6.5,8.6,0.85,4.55,3.84,76,1041.6,5.2,14.3,-4.3,99,99
